x,y
20.15851064,10.72064859
20.16037234,10.72569283
20.16223404,10.73067854
20.16409574,10.73560706
20.16595745,10.74047969
20.16781915,10.74529765
20.16968085,10.75006217
20.17154255,10.75477441
20.17340426,10.75943549
20.17526596,10.76404651
20.17712766,10.76860853
20.17898936,10.77312257
20.18085106,10.77758963
20.18271277,10.78201067
20.18457447,10.78638661
20.18643617,10.79071837
20.18829787,10.79500683
20.19015957,10.79925283
20.19202128,10.8034572
20.19388298,10.80762076
20.19574468,10.81174426
20.19760638,10.81582849
20.19946809,10.81987416
20.20132979,10.82388201
20.20319149,10.82785271
20.20505319,10.83178696
20.20691489,10.83568541
20.2087766,10.83954871
20.2106383,10.84337747
20.2125,10.8471723
20.2143617,10.8509338
20.2162234,10.85466255
20.21808511,10.8583591
20.21994681,10.862024
20.22180851,10.86565779
20.22367021,10.86926098
20.22553191,10.87283408
20.22739362,10.8763776
20.22925532,10.879892
20.23111702,10.88337776
20.23297872,10.88683535
20.23484043,10.8902652
20.23670213,10.89366777
20.23856383,10.89704346
20.24042553,10.90039271
20.24228723,10.90371592
20.24414894,10.90701349
20.24601064,10.91028581
20.24787234,10.91353326
20.24973404,10.91675621
20.25159574,10.91995503
20.25345745,10.92313007
20.25531915,10.92628168
20.25718085,10.9294102
20.25904255,10.93251594
20.26090426,10.93559927
20.26276596,10.93866049
20.26462766,10.94169992
20.26648936,10.94471784
20.26835106,10.94771457
20.27021277,10.95069041
20.27207447,10.95364562
20.27393617,10.95658051
20.27579787,10.95949533
20.27765957,10.96239037
20.27952128,10.96526588
20.28138298,10.96812213
20.28324468,10.97095937
20.28510638,10.97377785
20.28696809,10.97657782
20.28882979,10.9793595
20.29069149,10.98212315
20.29255319,10.98486898
20.29441489,10.98759722
20.2962766,10.9903081
20.2981383,10.99300184
20.3,10.99567864
20.33888889,11.04805767
20.37777778,11.09468041
20.41666667,11.13667715
20.45555556,11.17487483
20.49444444,11.20989678
20.53333333,11.24222451
20.57222222,11.27223771
20.61111111,11.30024109
20.65,11.32648288
20.72,11.36991127
20.79,11.40921739
20.86,11.44510253
20.93,11.47810303
21,11.50863831
21.11666667,11.55493048
21.23333333,11.59646213
21.35,11.63409622
21.525,11.68461475
21.7,11.72938966
21.875,11.76955108
22.05,11.80592582
22.4,11.86966623
22.75,11.92412138
23.1,11.97153368
23.45,12.01342295
23.8,12.05086689
24.15,12.08465739
24.5,12.11539342
24.85,12.14353895
25.2,12.16946068
25.55,12.19345337
25.9,12.21575751
26.25,12.23657193
26.6,12.25606287
26.95,12.27437033
27.3,12.29161403
27.65,12.30789645
28,12.32330629
28.35,12.3379211
28.7,12.35180828
29.05,12.36502754
29.4,12.37763163
29.75,12.38966748
30.1,12.401177
30.45,12.41219776
30.8,12.42276359
31.15,12.43290501
31.5,12.44264973
31.85,12.45202288
32.2,12.46104737
32.55,12.46974416
32.9,12.47813241
33.25,12.48622976
33.6,12.49405247
33.95,12.50161501
34.3,12.50893217
34.65,12.5160161
35,12.52287873
,
,
,
,
,
,
