x,y
19.74318182,8.78101699
19.75909091,8.80842983
19.775,8.83751535
19.79090909,8.86848563
19.80681818,8.90159277
19.82272727,8.93713848
19.83863636,8.97548618
19.85454545,9.01707575
19.87045455,9.06244107
19.88636364,9.1122283
19.90227273,9.16720991
19.91818182,9.22827996
19.93409091,9.29639782
19.95,9.37241387
19.96029412,9.42601294
19.97058824,9.48295474
19.98088235,9.54281511
19.99117647,9.6048217
20.00147059,9.66788026
20.01176471,9.73071492
20.02205882,9.79208636
20.03235294,9.85099388
20.04264706,9.90677983
20.05294118,9.95912386
20.06323529,10.00796965
20.07352941,10.05343467
20.08382353,10.0957332
20.09411765,10.13512209
20.10441176,10.17186705
20.11470588,10.20622383
20.125,10.23842898
20.13529412,10.26869641
20.14558824,10.29721699
20.15588235,10.32415981
20.16617647,10.34967412
20.17647059,10.37389153
20.18676471,10.39692812
20.19705882,10.41888645
20.20735294,10.43985727
20.21764706,10.45992113
20.22794118,10.4791497
20.23823529,10.49760694
20.24852941,10.51535009
20.25882353,10.53243051
20.26911765,10.54889446
20.27941176,10.56478367
20.28970588,10.58013594
20.3,10.59498556
20.33888889,10.64705845
20.37777778,10.69373831
20.41666667,10.73602819
20.45555556,10.7746786
20.49444444,10.81026475
20.53333333,10.84323663
20.57222222,10.87395261
20.61111111,10.90270257
20.65,10.92972417
20.72,10.97461667
20.79,11.01544018
20.86,11.05287728
20.93,11.08745231
21,11.11957671
21.11666667,11.16853572
21.23333333,11.21274374
21.35,11.25305405
21.525,11.30757407
21.7,11.35632481
21.875,11.40042957
22.05,11.44071107
22.225,11.47778997
22.4,11.51214599
22.75,11.57412864
23.1,11.62889635
23.45,11.67796677
23.8,11.72241711
24.15,11.76303964
24.5,11.80043432
24.85,11.83506669
25.2,11.86730535
25.55,11.89744736
25.9,11.92573568
26.25,11.95237196
26.6,11.97752518
26.95,12.00133887
27.3,12.02393569
27.65,12.04542171
28,12.06588912
28.35,12.08541875
28.7,12.10408191
29.05,12.12194183
29.4,12.13905495
29.75,12.15547184
30.1,12.17123806
30.45,12.18639479
30.8,12.20097935
31.15,12.2150261
31.5,12.22856594
31.85,12.24162752
32.2,12.25423714
32.55,12.26641885
32.9,12.27819525
33.25,12.28958686
33.6,12.30061348
33.95,12.31129245
34.3,12.32164065
34.65,12.33167366
35,12.34140642
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
